PlotID	Plot.code	pH	pHCaCl2	ResinPi	MehlichP	MehlichAl	MehlichCa	MehlichFe	MehlichK	MehlichMg	MehlichMn	MehlichZn	TotalBases	NH4	NO3	TotalinorgN	DON	TotalP	TotalN	MehlichB	WaterB	TotalC	MicC	MicN	MicP	Clay	Latitude	Longitude	Elevation	AnnualPpt	DrySeasonDeficit
33	Clayton - transecto	6.39	5.47	2.91	2.69	900.9	3485.8	146	50	1143.6	78.3	20.21	4679	0.74	1.66	2.4	7.3	384.2	0.28	0.781	0.1324	3.92942820482979	624.244000092416	110.608360603515	60.5380193355877		9.00354	-79.5662	35	1901.05548364399	-576.483483049411
64	Paraiso - Cerro Luisa - p40.1	6.64	5.84	1.99	1.36	794.5	3682.5	153.9	22.3	539.4	247.6	4.36	4244	1.27	3.66	4.93	8.5	404.9	0.45	0.974	0.2327	6.55735890749032	855.748205467402	159.803316497945	87.0312575220715		9.02582	-79.615	140	1956.14908087007	-578.696216604318
65	Paraiso - Cerro Luisa - p40.2	6.32	5.39	1.17	1.58	875	2101.8	161.4	44.5	565.7	79.8	44.81	2712	2.27	1.99	4.26	9.8	263.8	0.53	0.8475	0.2248	4.63699040233432	639.318708905701	112.870537935384	73.9588250816286		9.02988	-79.6165	70	1961.2446147742	-579.321810788329
30	Chagres - Chilibre - p1ha	7.33	6.68	4.07	6.41	951	8641.7	134	38.5	158.6	109	1.63	8839	1.67	2.18	3.85	5.1	1196.5	0.37	1.552	0.2026						9.21255	-79.5979	85	2485.01080170764	-571.289081178484
31	Chagres - Chilibre - transecto	7.11	6.32	10.21	26.8	934.8	9738.6	121	42.7	635.4	71.3	3.57	10417	2.89	3.1	5.99	9.7	1552.8	0.33	1.0951	0.2099	10.8723871803802	1605.95454022514	306.777923248331	151.047968674377		9.21113	-79.597	100	2486.61303407313	-571.208419327048
21	Cerro Patacon - p40	4.24	3.65	3.56	4.18	1313.3	77.4	255.1	18.4	20.2	1.9	0.96	116	2.19	2.27	4.45	20.3	329.9	0.3	0.4515	0.2666	6.99427521552152	614.90409413006	101.919838547487	60.015124359268		9.01382	-79.596	40	1932.15416882772	-578.187068491156
22	Cerro Pelado - Gamboa - p40	5.76	4.7	0.27	0.76	1371.2	798.1	187.2	42.6	813	114.6	2.87	1654	3.49	0.62	4.11	9.3	282.1	0.338	0.8527	0.2487	4.7880772146555	791.401885690328	147.39615879076	66.7683450618929		9.12134	-79.7067	80	2156.89815523126	-572.14153827967
24	Cerro Pelado - Gamboa - transecto.1	4.97	4.08	0.33	2.01	1125.3	327.3	171.2	30.7	127.3	18.5	1.35	485	1.15	1.83	2.97	11.3	213.7	0.402	0.8217	0.3099	3.90740896862209	486.14609500972	94.7753162625885	58.1332795525468		9.1266	-79.7048	160	2173.22039168906	-569.993708508359
25	Cerro Pelado - Gamboa - transecto.2	6.04	5.04	0.55	0.94	874.9	1575.7	155.9	73.1	896.1	130.1	2.89	2545	1.69	1.8	3.49	4.7	270.2	0.383	0.961	0.2347	4.29978794281116	553.380567676477	110.900946518124	68.4203505645817		9.12596	-79.7076	100	2172.13276371125	-570.744824822975
96	Sendero El Charco - p1ha	6.29	5.34	3.5	5.41	1042.8	1930.3	155.8	161.8	335.1	147.6	1.86	2427	2.35	2.2	4.55	8.3	596.6	0.3	0.7255	0.3183	4.13014721911525	645.993152679199	132.463564153651	84.2985442031373		9.08734	-79.6619	140	2056.03309645515	-578.816664495358
93	Sendero El Charco - p40.3	5.51	4.55	1.46	2.03	1160.9	682.5	157.8	37.9	199.8	101.8	1.01	920	1.5	0.72	2.22	16.7	299.3	0.249	0.7495	0.2028	3.94188853157405	751.782806479639	152.499976071635	87.8354850314542		9.08335	-79.6668	100	2050.64642524059	-579.225811267149
95	Sendero El Charco - p40.5	4.47	3.7	0.99	2.7	1020.3	56.7	198.1	22.5	30.5	17.6	1.56	110	2.49	0.36	2.85	19.8	453.9	0.229	0.6204	0.1843	3.19626883912106	456.091350893349	84.6787277934282	53.1089369323108		9.08455	-79.6624	90	2051.02799500176	-579.379018733616
94	Sendero El Charco - p40.4	5.79	4.9	3.48	3.79	1136.1	1099.7	169.8	41.8	287.9	185.8	6.33	1429	2.26	2.76	5.02	11.6	733.6	0.41								9.08396	-79.6639	85	2050.55722006772	-579.407279087166
10	Camino Plantacion - transecto	6.4	5.43	13.3	8.98	1062.4	3754	182.1	253.4	641.2	102.8	9.14	4649	1.42	2.16	3.57	6.8	1126.6	0.44	1.0607	0.2481	4.77048626815871	726.278176338466	130.895345371497	66.8901928513378		9.08957	-79.6532	140	2057.68233781789	-578.913809643022
91	Sendero El Charco - p40.1	5.6	4.57	1.53	4.76	1420.8	2044.6	167.4	46.6	896	110.3	7.69	2987	2.2	0.73	2.92	9.6	950.9	0.352	0.7368	0.1887	5.03584418529555	920.769411779848	154.194455149163	96.8793869838425		9.0895	-79.6733	95	2064.47607586623	-578.734417558531
92	Sendero El Charco - p40.2	4.7	3.84	0.72	3.31	1426.9	421.2	187.8	35.1	269.9	97.2	3.05	726	1.83	2.21	4.04	18.2	462.4	0.398	0.9264	0.2136	4.71684497527601	850.160562273428	141.147917154533	97.8394805556647		9.09052	-79.6725	120	2066.14021701318	-578.476573123602
