"","site","Month","mon_mean","temporal","dataset_name","long_dd","lat_dd","CHELSA1.2","CHELSA2.1","CHELSA_EarthEnv","CHPclim","WorldClim2.1","CHIRPS2.0","CHELSAW5E5v1.0","TerraClimate","PBCOR_CHELSA1.2","PBCOR_CHPclim","PBCOR_WorldClim2.1"
"1062","PELUCA",6,327.867333333333,"1980-2009","PBCOR CHPclim",-79.561096,9.37941,289,374.899993896484,361.097869873047,339.739501953125,284,310.431701660156,275.919281005859,273.700012207031,321,351.241455078125,284
"1063","PELUCA",7,314.952666666667,"1980-2009","PBCOR CHPclim",-79.561096,9.37941,308,363.399993896484,321.194274902344,343.957244873047,272,314.322631835938,271.390380859375,288.899993896484,344,355.689270019531,271
"1064","PELUCA",8,325.133333333333,"1980-2009","PBCOR CHPclim",-79.561096,9.37941,314,390.399993896484,340.375,356.691864013672,326,355.545654296875,277.456115722656,322.899993896484,343,368.829010009766,240
"1065","PELUCA",9,292.113333333333,"1980-2009","PBCOR CHPclim",-79.561096,9.37941,289,391,359.572845458984,292.450286865234,242,306.678283691406,285.432373046875,260.600006103516,309,302.368713378906,264
"1066","PELUCA",10,353.153333333333,"1980-2009","PBCOR CHPclim",-79.561096,9.37941,333,478.399993896484,426.080718994141,355.494476318359,376,369.998321533203,345.908325195312,369.799987792969,348,367.482391357422,355
"1067","PELUCA",11,401.848,"1980-2009","PBCOR CHPclim",-79.561096,9.37941,370,522.799987792969,494.017150878906,460.657958984375,384,438.084747314453,351.739868164062,453.899993896484,387,476.375579833984,353
"1068","PELUCA",12,265.170666666667,"1980-2009","PBCOR CHPclim",-79.561096,9.37941,226,272.5,230.481430053711,316.58837890625,222,281.018157958984,191.188247680664,259.399993896484,242,327.604461669922,213
"1069","SANMIGUEL",1,176.666666666667,"1980-2009","PBCOR CHPclim",-79.504151,9.419408,88,79.0999984741211,47.6700019836426,133.346221923828,100,103.88159942627,50.9996719360352,165.800003051758,93,133.346221923828,110
"1070","SANMIGUEL",2,117.655333333333,"1980-2009","PBCOR CHPclim",-79.504151,9.419408,47,38.9000015258789,42.4500007629395,65.7743225097656,63,49.9787864685059,28.8892879486084,61.9000015258789,49,65.7743225097656,54
"1071","SANMIGUEL",3,119.044,"1980-2009","PBCOR CHPclim",-79.504151,9.419408,38,47.5999984741211,39.9957122802734,38.200252532959,37,38.8587951660156,29.9077033996582,44.2999992370605,40,38.200252532959,28
"1072","SANMIGUEL",4,290.905333333333,"1980-2009","PBCOR CHPclim",-79.504151,9.419408,122,139.600006103516,157.736434936523,112.639152526855,153,155.990356445312,111.949279785156,111,126,112.639152526855,153
"1073","SANMIGUEL",5,418.670666666667,"1980-2009","PBCOR CHPclim",-79.504151,9.419408,375,381.899993896484,374.592132568359,364.212219238281,327,347.326629638672,277.161376953125,349.399993896484,378,364.212219238281,323
"1074","SANMIGUEL",6,400.562,"1980-2009","PBCOR CHPclim",-79.504151,9.419408,377,373.5,346.636413574219,339.527191162109,289,312.475128173828,279.635040283203,283.299987792969,368,339.527191162109,317
"1075","SANMIGUEL",7,402.38,"1980-2009","PBCOR CHPclim",-79.504151,9.419408,407,353.100006103516,311.809295654297,384.066284179688,327,348.291076660156,281.237670898438,313.600006103516,398,384.066284179688,327
"1076","SANMIGUEL",8,392.473333333333,"1980-2009","PBCOR CHPclim",-79.504151,9.419408,403,381.600006103516,322.042144775391,394.601043701172,291,390.160614013672,284.919219970703,296,401,394.601043701172,307
"1077","SANMIGUEL",9,330.927333333333,"1980-2009","PBCOR CHPclim",-79.504151,9.419408,361,389.200012207031,344.817138671875,269.302947998047,276,281.898986816406,285.958709716797,259.5,359,269.302947998047,273
"1078","SANMIGUEL",10,379.848,"1980-2009","PBCOR CHPclim",-79.504151,9.419408,428,480.399993896484,417.618560791016,342.401916503906,386,355.59765625,343.576751708984,375.700012207031,427,342.401916503906,383
"1079","SANMIGUEL",11,526.146666666667,"1980-2009","PBCOR CHPclim",-79.504151,9.419408,503,510.799987792969,474.280700683594,497.509124755859,347,475.651336669922,358.660858154297,467.600006103516,524,497.509124755859,385
"1080","SANMIGUEL",12,419.444666666667,"1980-2009","PBCOR CHPclim",-79.504151,9.419408,315,282.5,244.335006713867,391.152893066406,182,344.821472167969,197.953994750977,320.600006103516,328,391.152893066406,221
"1081","AGUACLARA",1,147.401935483871,"1970-2000","PBCOR WorldClim 2.1",-79.70638,9.362686,90,84,47.6276931762695,105.921348571777,52,87.4000091552734,60.7259292602539,58.4000015258789,97,114.570014953613,29
"1082","AGUACLARA",2,74.8972258064516,"1970-2000","PBCOR WorldClim 2.1",-79.70638,9.362686,49,36.0999984741211,37.6376914978027,60.8622245788574,33,51.3700141906738,34.1182022094727,27.8999996185303,53,65.8749237060547,27
"1083","AGUACLARA",3,76.9947741935484,"1970-2000","PBCOR WorldClim 2.1",-79.70638,9.362686,40,48,39.8050003051758,47.207633972168,33,49.341480255127,34.7550392150879,33.2999992370605,44,51.1028518676758,22
"1084","AGUACLARA",4,186.575290322581,"1970-2000","PBCOR WorldClim 2.1",-79.70638,9.362686,119,144,168.212860107422,97.7494735717773,122,139.234100341797,121.88606262207,114.800003051758,122,105.706214904785,78
"1085","AGUACLARA",5,363.891870967742,"1970-2000","PBCOR WorldClim 2.1",-79.70638,9.362686,369,403.200012207031,410.639282226562,378.549194335938,372,362.6484375,304.548034667969,413.899993896484,339,408.086090087891,288
"1086","AGUACLARA",6,387.931741935484,"1970-2000","PBCOR WorldClim 2.1",-79.70638,9.362686,376,397.5,375.66357421875,430.878814697266,284,392.340545654297,310.287475585938,295.899993896484,308,463.963073730469,296
"1087","AGUACLARA",7,328.077870967742,"1970-2000","PBCOR WorldClim 2.1",-79.70638,9.362686,386,416.700012207031,363.209289550781,387.608856201172,284,353.451568603516,314.732208251953,323,343,417.606262207031,210
